#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.156716 0.1 -3.78818e-05 6.90323e-06 0
0.158209 0.1 -3.76168e-05 6.80091e-06 0
0.159701 0.1 -3.74436e-05 6.71099e-06 0
0.161194 0.1 -3.73595e-05 6.62751e-06 0
0.162687 0.1 -3.72725e-05 6.55118e-06 0
0.164179 0.1 -3.71455e-05 6.45868e-06 0
0.165672 0.1 -3.70173e-05 6.36182e-06 0
0.167164 0.1 -3.68297e-05 6.26771e-06 0
0.168657 0.1 -3.65211e-05 6.1844e-06 0
0.170149 0.1 -3.63138e-05 6.10178e-06 0
0.171642 0.1 -3.62272e-05 6.02787e-06 0
0.173134 0.1 -3.6184e-05 5.96159e-06 0
0.174627 0.1 -3.60212e-05 5.89753e-06 0
0.176119 0.1 -3.5689e-05 5.83752e-06 0
0.177612 0.1 -3.54428e-05 5.78219e-06 0
0.179104 0.1 -3.5401e-05 5.73084e-06 0
0.180597 0.1 -3.536e-05 5.68532e-06 0
0.18209 0.1 -3.52707e-05 5.64811e-06 0
0.183582 0.1 -3.51305e-05 5.61124e-06 0
0.185075 0.1 -3.49311e-05 5.57316e-06 0
0.186567 0.1 -3.45958e-05 5.53456e-06 0
0.18806 0.1 -3.44854e-05 5.49726e-06 0
0.189552 0.1 -3.45079e-05 5.46339e-06 0
0.191045 0.1 -3.42169e-05 5.43524e-06 0
0.192537 0.1 -3.37252e-05 5.41186e-06 0
0.19403 0.1 -3.35331e-05 5.39303e-06 0
0.195522 0.1 -3.35058e-05 5.37892e-06 0
0.197015 0.1 -3.29978e-05 5.36934e-06 0
0.198507 0.1 -3.25704e-05 5.36295e-06 0
0.2 0.0985075 -3.29383e-05 5.361e-06 0.05
0.2 0.0970149 -3.28e-05 5.36251e-06 0.0434783
0.2 0.0955224 -3.27072e-05 5.36372e-06 0
0.2 0.0940299 -3.33324e-05 5.36472e-06 0
0.2 0.0925373 -3.34298e-05 5.36535e-06 0
0.2 0.0910448 -3.36105e-05 5.36629e-06 0
0.2 0.0895522 -3.37439e-05 5.36716e-06 0
0.2 0.0880597 -3.39129e-05 5.36845e-06 0
0.2 0.0865672 -3.40767e-05 5.36927e-06 0
0.2 0.0850746 -3.41661e-05 5.37021e-06 0
0.2 0.0835821 -3.42791e-05 5.37069e-06 0
0.2 0.0820896 -3.43466e-05 5.37142e-06 0
0.2 0.080597 -3.44117e-05 5.37155e-06 0
0.2 0.0791045 -3.44923e-05 5.37166e-06 0
0.2 0.0776119 -3.4567e-05 5.37204e-06 0
0.2 0.0761194 -3.46705e-05 5.37232e-06 0
0.2 0.0746269 -3.4725e-05 5.37282e-06 0
0.2 0.0731343 -3.47232e-05 5.37307e-06 0
0.2 0.0716418 -3.46933e-05 5.37313e-06 0
0.2 0.0701493 -3.46591e-05 5.37322e-06 0
0.2 0.0686567 -3.46815e-05 5.37295e-06 0
