#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0 0 -1.99773e-05 1.61594e-05 0
0.2 0 -2e-05 5.85388e-08 0
0.2 0.1 -2e-05 5.87247e-08 0
0 0.1 -1.56934e-16 2.35266e-05 0
0 0.0465 -2.47228e-05 2.59111e-05 0
0 0.0535 8.21026e-11 2.65e-05 0.285714
0.05 0.05 -8.45401e-06 2.65e-05 0.317073
0.00149254 0.1 -2.42679e-16 2.65e-05 0
0.00298507 0.1 -3.40604e-16 2.28724e-05 0
0.00447761 0.1 -4.8767e-16 2.21283e-05 0
0.00597015 0.1 -7.04224e-16 2.15806e-05 0
0.00746269 0.1 -1.02652e-15 2.10801e-05 0
0.00895522 0.1 -1.54783e-15 2.06846e-05 0
0.0104478 0.1 -2.47189e-15 2.03501e-05 0
0.0119403 0.1 -3.78468e-15 2.00484e-05 0
0.0134328 0.1 -5.9135e-15 1.97821e-05 0
0.0149254 0.1 -7.96702e-15 1.95503e-05 0
0.0164179 0.1 -1.00949e-14 1.9334e-05 0
0.0179104 0.1 -1.34605e-14 1.91088e-05 0
0.019403 0.1 -1.57664e-14 1.88426e-05 0
0.0208955 0.1 -1.88206e-14 1.85622e-05 0
0.0223881 0.1 -2.23094e-14 1.82784e-05 0
0.0238806 0.1 -2.5901e-14 1.80076e-05 0
0.0253731 0.1 -2.9255e-14 1.77422e-05 0
0.0268657 0.1 -3.25627e-14 1.74814e-05 0
0.0283582 0.1 -3.61491e-14 1.72298e-05 0
0.0298507 0.1 -4.58605e-14 1.69599e-05 0
0.0313433 0.1 -5.03861e-14 1.67175e-05 0
0.0328358 0.1 -6.57845e-14 1.64867e-05 0
0.0343284 0.1 -7.8089e-14 1.62572e-05 0
0.0358209 0.1 -7.78365e-14 1.60178e-05 0
0.0373134 0.1 -8.15535e-14 1.57475e-05 0
0.038806 0.1 -7.65401e-14 1.54274e-05 0
0.0402985 0.1 -7.74623e-14 1.51072e-05 0
0.041791 0.1 -7.81994e-14 1.47827e-05 0
0.0432836 0.1 -7.77596e-14 1.44582e-05 0
0.0447761 0.1 -7.67706e-14 1.41339e-05 0
0.0462687 0.1 -7.68752e-14 1.38108e-05 0
0.0477612 0.1 -7.83253e-14 1.34912e-05 0
0.0492537 0.1 -9.01706e-14 1.31767e-05 0
0.0507463 0.1 -9.86897e-14 1.28611e-05 0
0.0522388 0.1 -1.10315e-13 1.25625e-05 0
0.0537313 0.1 -1.135e-13 1.22565e-05 0
0.0552239 0.1 -1.1163e-13 1.19299e-05 0
0.0567164 0.1 -1.00506e-13 1.15935e-05 0
0.058209 0.1 -9.1197e-14 1.12681e-05 0
0.0597015 0.1 -8.642e-14 1.09664e-05 0
0.061194 0.1 -8.07341e-14 1.06516e-05 0
0.0626866 0.1 -7.92161e-14 1.03453e-05 0
0.0641791 0.1 -7.19314e-14 1.00185e-05 0
0.0656716 0.1 -7.61521e-14 9.69968e-06 0
0.0671642 0.1 -7.49652e-14 9.38478e-06 0
0.0686567 0.1 -8.03868e-14 9.07366e-06 0
0.0701493 0.1 -8.6094e-14 8.77948e-06 0
0.0716418 0.1 -8.78373e-14 8.50842e-06 0
0.0731343 0.1 -8.53376e-14 8.24782e-06 0
0.0746269 0.1 -7.8705e-14 7.97422e-06 0
0.0761194 0.1 -7.28132e-14 7.67181e-06 0
0.0776119 0.1 -7.43641e-14 7.38963e-06 0
0.0791045 0.1 -7.06941e-14 7.10679e-06 0
