#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0 0 -2.14632e-05 2.12339e-05 0.0714286
0.2 0 -2e-05 1.01441e-06 0
0.2 0.1 -2e-05 1.02151e-06 0
0 0.1 -3.04939e-06 2.49787e-05 0
0 0.0465 -3.60502e-05 2.57527e-05 0
0 0.0535 -1.96984e-06 2.65e-05 0.285714
0.05 0.05 -2.21285e-05 2.65e-05 0.634146
0.00149254 0.1 -3.07485e-06 2.65e-05 0
0.00298507 0.1 -3.15017e-06 2.46367e-05 0
0.00447761 0.1 -3.25586e-06 2.42524e-05 0
0.00597015 0.1 -3.38888e-06 2.39645e-05 0
0.00746269 0.1 -3.55027e-06 2.36977e-05 0
0.00895522 0.1 -3.75346e-06 2.34809e-05 0
0.0104478 0.1 -3.9788e-06 2.32931e-05 0
0.0119403 0.1 -4.25015e-06 2.31192e-05 0
0.0134328 0.1 -4.54243e-06 2.29617e-05 0
0.0149254 0.1 -4.85292e-06 2.28212e-05 0
0.0164179 0.1 -5.19012e-06 2.26868e-05 0
0.0179104 0.1 -5.58835e-06 2.25432e-05 0
0.019403 0.1 -6.08969e-06 2.23697e-05 0
0.0208955 0.1 -6.63302e-06 2.2183e-05 0
0.0223881 0.1 -7.20436e-06 2.19906e-05 0
0.0238806 0.1 -7.7766e-06 2.18033e-05 0
0.0253731 0.1 -8.35651e-06 2.16166e-05 0
0.0268657 0.1 -8.93998e-06 2.14298e-05 0
0.0283582 0.1 -9.52194e-06 2.12463e-05 0
0.0298507 0.1 -1.01346e-05 2.10465e-05 0
0.0313433 0.1 -1.07462e-05 2.08646e-05 0
0.0328358 0.1 -1.13366e-05 2.06882e-05 0
0.0343284 0.1 -1.19326e-05 2.05112e-05 0
0.0358209 0.1 -1.25497e-05 2.03247e-05 0
0.0373134 0.1 -1.31759e-05 2.01116e-05 0
0.038806 0.1 -1.38825e-05 1.9857e-05 0
0.0402985 0.1 -1.45645e-05 1.95987e-05 0
0.041791 0.1 -1.52373e-05 1.93341e-05 0
0.0432836 0.1 -1.58957e-05 1.90665e-05 0
0.0447761 0.1 -1.65288e-05 1.87962e-05 0
0.0462687 0.1 -1.71419e-05 1.8524e-05 0
0.0477612 0.1 -1.77508e-05 1.82518e-05 0
0.0492537 0.1 -1.83902e-05 1.79808e-05 0
0.0507463 0.1 -1.90179e-05 1.77064e-05 0
0.0522388 0.1 -1.96076e-05 1.74446e-05 0
0.0537313 0.1 -2.01019e-05 1.7174e-05 0
0.0552239 0.1 -2.04887e-05 1.68825e-05 0
0.0567164 0.1 -2.08264e-05 1.658e-05 0
0.058209 0.1 -2.12099e-05 1.62844e-05 0
0.0597015 0.1 -2.15952e-05 1.60078e-05 0
0.061194 0.1 -2.19448e-05 1.57161e-05 0
0.0626866 0.1 -2.23331e-05 1.5429e-05 0
0.0641791 0.1 -2.26988e-05 1.512e-05 0
0.0656716 0.1 -2.31362e-05 1.48147e-05 0
0.0671642 0.1 -2.35119e-05 1.45102e-05 0
0.0686567 0.1 -2.38897e-05 1.42056e-05 0
0.0701493 0.1 -2.42424e-05 1.39145e-05 0
0.0716418 0.1 -2.45188e-05 1.36432e-05 0
0.0731343 0.1 -2.47294e-05 1.33799e-05 0
0.0746269 0.1 -2.48689e-05 1.31007e-05 0
0.0761194 0.1 -2.50373e-05 1.27878e-05 0
0.0776119 0.1 -2.5261e-05 1.2492e-05 0
0.0791045 0.1 -2.53838e-05 1.2192e-05 0
