#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.183582 0.1 2e-05 2.53684e-05 0
0.185075 0.1 2e-05 2.53625e-05 0
0.186567 0.1 2e-05 2.53568e-05 0
0.18806 0.1 2e-05 2.53513e-05 0
0.189552 0.1 2e-05 2.53464e-05 0
0.191045 0.1 2e-05 2.53424e-05 0
0.192537 0.1 2e-05 2.53391e-05 0
0.19403 0.1 2e-05 2.53368e-05 0
0.195522 0.1 2e-05 2.53347e-05 0
0.197015 0.1 2e-05 2.5333e-05 0
0.198507 0.1 2e-05 2.53312e-05 0
0.2 0.0985075 2e-05 2.53334e-05 0
0.2 0.0970149 -5.78742e-08 2.53392e-05 0.26087
0.2 0.0955224 1.57574e-06 2.53472e-05 0.08
0.2 0.0940299 2.5974e-06 2.53584e-05 0.04
0.2 0.0925373 2.87658e-06 2.5373e-05 0
0.2 0.0910448 3.60954e-06 2.53906e-05 0
0.2 0.0895522 3.60772e-06 2.54117e-05 0
0.2 0.0880597 3.99728e-06 2.54331e-05 0
0.2 0.0865672 4.06311e-06 2.5459e-05 0
0.2 0.0850746 4.21592e-06 2.54872e-05 0
0.2 0.0835821 4.19012e-06 2.55181e-05 0
0.2 0.0820896 4.15981e-06 2.55494e-05 0
0.2 0.080597 4.28878e-06 2.55829e-05 0
0.2 0.0791045 4.39082e-06 2.56205e-05 0
0.2 0.0776119 4.41992e-06 2.56641e-05 0
0.2 0.0761194 4.43873e-06 2.57109e-05 0
0.2 0.0746269 4.47551e-06 2.57556e-05 0
0.2 0.0731343 4.5051e-06 2.58013e-05 0
0.2 0.0716418 4.60742e-06 2.58499e-05 0
0.2 0.0701493 4.6986e-06 2.58936e-05 0
0.2 0.0686567 4.75294e-06 2.59457e-05 0
0.2 0.0671642 4.8014e-06 2.60009e-05 0
0.2 0.0656716 4.88318e-06 2.60573e-05 0
0.2 0.0641791 5.01351e-06 2.61097e-05 0
0.2 0.0626866 5.16772e-06 2.61574e-05 0
0.2 0.061194 5.26826e-06 2.62071e-05 0
0.2 0.0597015 5.36309e-06 2.6258e-05 0
0.2 0.058209 5.55405e-06 2.6308e-05 0
0.2 0.0567164 5.63464e-06 2.6357e-05 0.0434783
0.2 0.0552239 5.7218e-06 2.64032e-05 0.217391
0.2 0.0537313 7.29833e-06 2.65e-05 0.458333
0.2 0.0522388 -7.86979e-06 2.65e-05 0.818182
0.2 0.0507463 -2.17474e-05 2.65e-05 0.666667
0.2 0.0492537 -2.46816e-05 2.64019e-05 0.391304
0.2 0.0477612 -2.33437e-05 2.63467e-05 0.125
0.2 0.0462687 -2.30318e-05 2.62934e-05 0.0869565
