#Header
x(m) y(m) Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.2 0.0942857 0 1.35514e-05 0
0.2 0.0928571 0 1.35521e-05 0
0.2 0.0914286 0 1.35528e-05 0
0.2 0.09 0 1.35535e-05 0
0.2 0.0885714 0 1.35541e-05 0
0.2 0.0871429 0 1.35547e-05 0
0.2 0.0857143 0 1.35552e-05 0
0.2 0.0842857 0 1.35558e-05 0
0.2 0.0828571 0 1.35563e-05 0
0.2 0.0814286 0 1.35568e-05 0
0.2 0.08 0 1.35573e-05 0
0.2 0.0785714 0 1.35578e-05 0
0.2 0.0771429 0 1.35582e-05 0
0.2 0.0757143 0 1.35586e-05 0
0.2 0.0742857 0 1.3559e-05 0
0.2 0.0728571 0 1.35593e-05 0
0.2 0.0714286 0 1.35597e-05 0
0.2 0.07 0 1.356e-05 0
0.2 0.0685714 0 1.35603e-05 0
0.2 0.0671429 0 1.35606e-05 0
0.2 0.0657143 0 1.35609e-05 0
0.2 0.0642857 0 1.35611e-05 0
0.2 0.0628571 0 1.35613e-05 0
0.2 0.0614286 0 1.35615e-05 0
0.2 0.06 0 1.35617e-05 0
0.2 0.0585714 0 1.35618e-05 0
0.2 0.0571429 0 1.35619e-05 0
0.2 0.0557143 0 1.3562e-05 0
0.2 0.0542857 0 1.35621e-05 0
0.2 0.0528571 0 1.35622e-05 0
0.2 0.0514286 0 1.35622e-05 0
0.2 0.05 0 1.35622e-05 0
0.2 0.0485714 0 1.35622e-05 0
0.2 0.0471429 0 1.35622e-05 0
0.2 0.0457143 0 1.35622e-05 0
0.2 0.0442857 0 1.35621e-05 0
0.2 0.0428571 0 1.3562e-05 0
0.2 0.0414286 0 1.35619e-05 0
0.2 0.04 0 1.35618e-05 0
0.2 0.0385714 0 1.35616e-05 0
0.2 0.0371429 0 1.35615e-05 0
0.2 0.0357143 0 1.35613e-05 0
0.2 0.0342857 0 1.35611e-05 0
0.2 0.0328571 0 1.35608e-05 0
0.2 0.0314286 0 1.35606e-05 0
0.2 0.03 0 1.35603e-05 0
0.2 0.0285714 0 1.356e-05 0
0.2 0.0271429 0 1.35597e-05 0
0.2 0.0257143 0 1.35593e-05 0
0.2 0.0242857 0 1.3559e-05 0
0.2 0.0228571 0 1.35586e-05 0
0.2 0.0214286 0 1.35582e-05 0
0.2 0.02 0 1.35577e-05 0
0.2 0.0185714 0 1.35573e-05 0
0.2 0.0171429 0 1.35568e-05 0
0.2 0.0157143 0 1.35563e-05 0
0.2 0.0142857 0 1.35558e-05 0
0.2 0.0128571 0 1.35553e-05 0
0.2 0.0114286 0 1.35547e-05 0
0.2 0.01 0 1.35541e-05 0
0.2 0.00857143 0 1.35535e-05 0
0.2 0.00714286 0 1.35529e-05 0
0.2 0.00571429 0 1.35522e-05 0
0.2 0.00428571 0 1.35515e-05 0
0.2 0.00285714 0 1.35507e-05 0
0.2 0.00142857 0 1.35498e-05 0
0.198582 0 0 1.35511e-05 0
0.197163 0 0 1.35546e-05 0
0.195745 0 0 1.35593e-05 0
0.194326 0 0 1.35656e-05 0
0.192908 0 0 1.35735e-05 0
0.191489 0 0 1.35828e-05 0
0.190071 0 0 1.35938e-05 0
0.188652 0 0 1.36063e-05 0
0.187234 0 0 1.36203e-05 0
0.185816 0 0 1.36359e-05 0
0.184397 0 0 1.3653e-05 0
0.182979 0 0 1.36717e-05 0
0.18156 0 0 1.36919e-05 0
0.180142 0 0 1.37136e-05 0
0.178723 0 0 1.37369e-05 0
0.177305 0 0 1.37617e-05 0
0.175887 0 0 1.37881e-05 0
0.174468 0 0 1.3816e-05 0
0.17305 0 0 1.38454e-05 0
0.171631 0 0 1.38763e-05 0
0.170213 0 0 1.39088e-05 0
0.168794 0 0 1.39428e-05 0
0.167376 0 0 1.39783e-05 0
0.165957 0 0 1.40152e-05 0
0.164539 0 0 1.40537e-05 0
0.163121 0 0 1.40937e-05 0
0.161702 0 0 1.41352e-05 0
0.160284 0 0 1.41782e-05 0
0.158865 0 0 1.42227e-05 0
0.157447 0 0 1.42686e-05 0
0.156028 0 0 1.4316e-05 0
0.15461 0 0 1.43649e-05 0
0.153191 0 0 1.44152e-05 0
0.151773 0 0 1.4467e-05 0
0.150355 0 0 1.45203e-05 0
0.148936 0 0 1.45749e-05 0
0.147518 0 0 1.46311e-05 0
0.146099 0 0 1.46886e-05 0
0.144681 0 0 1.47476e-05 0
0.143262 0 0 1.4808e-05 0
0.141844 0 0 1.48698e-05 0
0.140426 0 0 1.4933e-05 0
0.139007 0 0 1.49976e-05 0
0.137589 0 0 1.50635e-05 0
0.13617 0 0 1.51309e-05 0
0.134752 0 0 1.51996e-05 0
0.133333 0 0 1.52697e-05 0
