#Header
x y Displacement(m) Hydrogen_concentration(mol/m^2) Damage

Load step: 3000
0.2 0.0671429 6.67901e-06 0 0
0.2 0.0657143 6.17243e-06 0 0
0.2 0.0642857 5.65926e-06 0 0
0.2 0.0628571 5.13797e-06 0 0
0.2 0.0614286 4.6099e-06 0 0
0.2 0.06 4.07899e-06 0 0
0.2 0.0585714 3.54853e-06 0 0
0.2 0.0571429 3.01843e-06 0 0
0.2 0.0557143 2.48582e-06 0 0
0.2 0.0542857 1.9479e-06 0 0
0.2 0.0528571 1.40399e-06 0 0
0.2 0.0514286 8.55274e-07 0 0
0.2 0.05 3.03282e-07 0 0
0.2 0.0485714 -2.50635e-07 0 0
0.2 0.0471429 -8.04412e-07 0 0
0.2 0.0457143 -1.35442e-06 0 0
0.2 0.0442857 -1.89646e-06 0 0
0.2 0.0428571 -2.42831e-06 0 0
0.2 0.0414286 -2.95123e-06 0 0
0.2 0.04 -3.46857e-06 0 0
0.2 0.0385714 -3.98286e-06 0 0
0.2 0.0371429 -4.49434e-06 0 0
0.2 0.0357143 -5.00179e-06 0 0
0.2 0.0342857 -5.504e-06 0 0
0.2 0.0328571 -6.00019e-06 0 0
0.2 0.0314286 -6.48987e-06 0 0
0.2 0.03 -6.97299e-06 0 0
0.2 0.0285714 -7.45038e-06 0 0
0.2 0.0271429 -7.92342e-06 0 0
0.2 0.0257143 -8.39358e-06 0 0
0.2 0.0242857 -8.86245e-06 0 0
0.2 0.0228571 -9.33069e-06 0 0
0.2 0.0214286 -9.79687e-06 0 0
0.2 0.02 -1.0258e-05 0 0
0.2 0.0185714 -1.07106e-05 0 0
0.2 0.0171429 -1.11521e-05 0 0
0.2 0.0157143 -1.15791e-05 0 0
0.2 0.0142857 -1.19885e-05 0 0
0.2 0.0128571 -1.2379e-05 0 0
0.2 0.0114286 -1.27459e-05 0 0
0.2 0.01 -1.30884e-05 0 0
0.2 0.00857143 -1.33996e-05 0 0
0.2 0.00714286 -1.36678e-05 0 0
0.2 0.00571429 -1.38949e-05 0 0
0.2 0.00428571 -1.40748e-05 0 0
0.2 0.00285714 -1.41981e-05 0 0
0.2 0.00142857 -1.42868e-05 0 0
0.198582 0 -1.47939e-05 0 0
0.197163 0 -1.53505e-05 0 0
0.195745 0 -1.60374e-05 0 0
0.194326 0 -2e-05 0 0
0.192908 0 -2e-05 0 0
0.191489 0 -2e-05 0 0
0.190071 0 -2e-05 0 0
0.188652 0 -2e-05 0 0
0.187234 0 -2e-05 0 0
0.185816 0 -2e-05 0 0
